ID	MA1	MA4	MA6	MA7	MA13	MA26	MA34	Y5	Y7	Y8	Y9	Y13
8.13_372.3024n	90662.91502	56634.50145	10766.50827	82523.03356	21334.38984	52584.01428	56251.16169	9124.37544	3104.939058	1338.763784	3598.941178	6074.926075
8.12_452.3192m/z	75658.41763	110722.4071	77373.62474	101107.7542	95472.08278	95218.32069	40354.55091	29255.75451	26448.84837	23695.41688	18230.56494	44753.61813
7.49_390.2630m/z	38627.50586	107480.1307	76697.68538	53286.14661	90846.1109	32690.12824	169482.0195	57514.54864	240531.578	136820.3903	214554.4741	266261.1462
7.67_426.3205m/z	184099.9852	220927.8421	221171.9247	178674.78	333389.8468	187366.2404	238032.9118	158207.3423	133138.696	189978.7392	165115.9028	169587.5212
5.47_225.1119m/z	69237.49726	60528.0642	127293.187	102025.9499	78731.55773	70261.21124	65303.73833	221519.233	200510.4106	121174.3526	109911.6813	160820.9143
6.28_522.3419m/z	60931.11581	83831.24484	141792.7269	89143.1027	183634.7432	126765.9066	140666.6369	41200.80131	65667.23442	84072.51596	69093.79799	59855.0666
7.23_443.3149m/z	131921.0951	182412.2022	101355.3412	145156.2676	292814.0642	145228.7845	129348.3422	64581.19336	60296.03792	85626.11341	73985.47677	77751.85772
3.50_527.1868m/z	73813.44927	88683.67043	62082.08544	47466.57901	90694.86211	82114.48376	136247.6774	82772.87048	92265.42714	187640.0092	150400.7315	175613.5995
5.48_341.2323m/z	18818.78383	31224.35925	17729.60204	20505.30134	19478.39954	25391.33042	20515.42503	43879.35838	39742.01686	77461.43329	106728.3953	83344.87815
3.10_232.1542m/z	132371.1378	142811.1026	47193.21432	153199.9966	89143.16994	192683.4837	74031.39639	50690.24893	20287.60588	24244.98902	28988.41227	36566.28337
6.07_484.3086m/z	126895.8074	199518.9547	33367.56234	5110.791278	82033.805	64179.5462	83425.29289	3845.304856	3373.688067	40344.08702	7478.021668	1061.246404
8.99_550.1886m/z	88299.78557	170671.4693	160322.9872	31561.37104	183575.3905	98661.0134	209324.6131	36719.34193	26289.79642	68712.76181	52143.98314	64152.76595
